page,id_in_page,details_page_url,agency_or_not,website
6,41,https://www.sortlist.com/agency/pierre-elie-zipilivan,1,https://www.ibisdev.tech
6,42,https://www.sortlist.com/agency/codesorbit,1,http://www.codesorbit.com
6,43,https://www.sortlist.com/agency/martes,1,https://www.martes.de/
6,44,https://www.sortlist.com/agency/cierra,1,https://cierra.de
6,45,https://www.sortlist.com/agency/factory39,1,http://factory39.io
6,46,https://www.sortlist.com/agency/gohze,1,https://gohze.com
6,47,https://www.sortlist.com/agency/logo-poppin,1,https://www.logopoppin.com
6,48,https://www.sortlist.com/agency/list-sell-gmbh-webdesign-agentur-berlin,1,http://www.listandsell.de
6,49,https://www.sortlist.com/agency/kodkodkod-studio,1,https://kodkodkod.studio
6,50,https://www.sortlist.com/agency/beeproger,1,https://beeproger.com
7,1,https://www.sortlist.com/agency/weft-technologies,1,http://wefttechnologies.com/
7,2,https://www.sortlist.com/agency/moco-6,1,https://www.bigideas.com
7,3,https://www.sortlist.com/agency/take-the-lead,1,https://takethelead.be/?utm_source=sortlist&amp;utm_medium=referral&amp;utm_campaign=sortlist-2021
7,4,https://www.sortlist.com/agency/preezma-2,1,http://www.preezma.com
7,5,https://www.sortlist.com/agency/proweb-limited,1,https://www.proweb.co.zm/
7,6,https://www.sortlist.com/agency/gildenford-la-sastreria-digital,1,http://www.gildenford.com
7,7,https://www.sortlist.com/agency/ajensi,1,https://ajensi.io
7,8,https://www.sortlist.com/agency/destino,1,http://www.destinobz.com
7,9,https://www.sortlist.com/agency/ngti,1,http://www.ngti.nl
7,10,https://www.sortlist.com/agency/inapps-technology,1,https://www.inapps.net/
7,11,https://www.sortlist.com/agency/alphonic-network-solutions-pvt-ltd,1,http://www.alphonic.in
7,12,https://www.sortlist.com/agency/correct-technology,1,https://www.correcttechno.com
7,13,https://www.sortlist.com/agency/wecodx,1,https://www.wecodx.com/
7,14,https://www.sortlist.com/agency/uxreactor,1,https://uxreactor.com
7,15,https://www.sortlist.com/agency/maple-software-creation,1,https://www.maplecreation.com/index.php
7,16,https://www.sortlist.com/agency/coma-dev,1,https://www.coma.de
7,17,https://www.sortlist.com/agency/schoene-neue-kinder,1,https://www.snk.de
7,18,https://www.sortlist.com/agency/railwaymen,1,https://railwaymen.org
7,19,https://www.sortlist.com/agency/clicsoft,1,https://www.clicsoft.io
7,20,https://www.sortlist.com/agency/theway2tech,1,https://theway2tech.com/
7,21,https://www.sortlist.com/agency/true-engineering,1,https://trueengineering.co
7,22,https://www.sortlist.com/agency/soft-kinetics,1,https://www.sandcti.com/
7,23,https://www.sortlist.com/agency/mcro-tech,1,https://mcro.tech/
7,24,https://www.sortlist.com/agency/grafing-d-o-o,1,https://grafing.hr/
7,25,https://www.sortlist.com/agency/secure-infotech-pvt-ltd,1,https://secureinfotech.ltd/
7,26,https://www.sortlist.com/agency/emutation-new-media,1,http://www.e-mutation.com
7,27,https://www.sortlist.com/agency/multidots-solutions-private-limited,1,http://www.multidots.com
7,28,https://www.sortlist.com/agency/rgw-studio,1,https://rgw.studio
7,29,https://www.sortlist.com/agency/equanimity-es-diseno-y-programacion-web,1,https://www.equanimity.es
7,30,https://www.sortlist.com/agency/appvelvet,1,https://appvelvet.com/
7,31,https://www.sortlist.com/agency/toughlex,1,https://www.toughlex.com/
7,32,https://www.sortlist.com/agency/arkbauer,1,https://arkbauer.com/
7,33,https://www.sortlist.com/agency/octal-it-solution,1,https://www.octalsoftware.com/
7,34,https://www.sortlist.com/agency/suria-labs,1,http://surialabs.com
7,35,https://www.sortlist.com/agency/transfonum,1,http://www.transfonum.com
7,36,https://www.sortlist.com/agency/slapp,1,http://slapp.me
7,37,https://www.sortlist.com/agency/zeagwat-inc,1,https://zeagwat.com
7,38,https://www.sortlist.com/agency/ultrastark-development-ag,1,http://ultrastark.ch
7,39,https://www.sortlist.com/agency/aimtech-llc,1,https://aimtech.am/
7,40,https://www.sortlist.com/agency/bearinasuit-interactive,1,https://bias-int.com
7,41,https://www.sortlist.com/agency/xdua-digital,1,https://xdua.digital
7,42,https://www.sortlist.com/agency/codelabs-inc,1,https://codelabs.inc/
7,43,https://www.sortlist.com/agency/incode-systems,1,https://incode-systems.com
7,44,https://www.sortlist.com/agency/dot-com-development,1,https://dotcomdevelopment.net
7,45,https://www.sortlist.com/agency/appmastero-web-mobile-app-development-company-in-uk,1,https://www.appmastero.co.uk/
7,46,https://www.sortlist.com/agency/odiwiodiwi,1,https://www.odiwi.com/
7,47,https://www.sortlist.com/agency/split-interactive,1,https://splitech.io
7,48,https://www.sortlist.com/agency/nubis-digital-agency,1,http://nub.is/
7,49,https://www.sortlist.com/agency/raydev,1,http://www.raydev.com
7,50,https://www.sortlist.com/agency/logimetrix-lts,1,http://www.logimetrix.co.in
8,1,https://www.sortlist.com/agency/icysoft,1,http://www.icysoft.fr
8,2,https://www.sortlist.com/agency/4kcode,1,http://www.4kcode.com
8,3,https://www.sortlist.com/agency/rootsquare-technologies,1,https://www.rootsquaretechnologies.com
8,4,https://www.sortlist.com/agency/iroid-technologies,1,https://www.iroidtechnologies.com/
8,5,https://www.sortlist.com/agency/visual-legion,1,http://www.visual-legion.com
8,6,https://www.sortlist.com/agency/clockwise-software,1,https://clockwise.software/
8,7,https://www.sortlist.com/agency/groweb,1,https://groweb.fr
8,8,https://www.sortlist.com/agency/web-design,1,https://www.webetdesign.com/
8,9,https://www.sortlist.com/agency/bornak,1,https://bornak.de/
